id,prediction
002_0_0,0
002_0_16,0
002_0_32,1
002_0_48,1
002_0_64,0
002_0_80,0
002_0_96,0
002_0_112,0
002_0_128,0
002_0_144,0
002_0_160,1
002_0_176,1
002_0_192,1
002_0_208,0
002_0_224,0
002_0_240,0
002_0_256,0
002_0_272,0
002_0_288,0
002_0_304,0
002_0_320,0
002_0_336,0
002_0_352,1
002_0_368,1
002_0_384,1
002_16_0,0
002_16_16,0
002_16_32,0
002_16_48,1
002_16_64,1
002_16_80,0
002_16_96,0
002_16_112,0
002_16_128,0
002_16_144,1
002_16_160,1
002_16_176,1
002_16_192,0
002_16_208,0
002_16_224,0
002_16_240,0
002_16_256,0
002_16_272,0
002_16_288,0
002_16_304,0
002_16_320,0
002_16_336,0
002_16_352,0
002_16_368,1
002_16_384,1
002_32_0,0
002_32_16,0
002_32_32,0
002_32_48,0
002_32_64,1
002_32_80,1
002_32_96,0
002_32_112,0
002_32_128,1
002_32_144,1
002_32_160,1
002_32_176,0
002_32_192,0
002_32_208,0
002_32_224,0
002_32_240,0
002_32_256,0
002_32_272,0
002_32_288,0
002_32_304,0
002_32_320,0
002_32_336,0
002_32_352,0
002_32_368,0
002_32_384,1
002_48_0,0
002_48_16,0
002_48_32,0
002_48_48,0
002_48_64,0
002_48_80,1
002_48_96,1
002_48_112,1
002_48_128,1
002_48_144,1
002_48_160,0
002_48_176,0
002_48_192,0
002_48_208,0
002_48_224,0
002_48_240,0
002_48_256,0
002_48_272,0
002_48_288,0
002_48_304,0
002_48_320,0
002_48_336,0
002_48_352,0
002_48_368,0
002_48_384,0
002_64_0,0
002_64_16,0
002_64_32,0
002_64_48,0
002_64_64,0
002_64_80,0
002_64_96,1
002_64_112,1
002_64_128,1
002_64_144,0
002_64_160,0
002_64_176,0
002_64_192,0
002_64_208,0
002_64_224,0
002_64_240,0
002_64_256,0
002_64_272,0
002_64_288,0
002_64_304,0
002_64_320,0
002_64_336,0
002_64_352,0
002_64_368,0
002_64_384,0
002_80_0,0
002_80_16,0
002_80_32,0
002_80_48,0
002_80_64,0
002_80_80,1
002_80_96,1
002_80_112,1
002_80_128,0
002_80_144,0
002_80_160,0
002_80_176,0
002_80_192,0
002_80_208,0
002_80_224,0
002_80_240,0
002_80_256,0
002_80_272,0
002_80_288,0
002_80_304,0
002_80_320,0
002_80_336,0
002_80_352,0
002_80_368,0
002_80_384,0
002_96_0,0
002_96_16,0
002_96_32,0
002_96_48,0
002_96_64,1
002_96_80,1
002_96_96,1
002_96_112,0
002_96_128,0
002_96_144,0
002_96_160,0
002_96_176,0
002_96_192,0
002_96_208,0
002_96_224,0
002_96_240,0
002_96_256,0
002_96_272,1
002_96_288,0
002_96_304,0
002_96_320,0
002_96_336,0
002_96_352,0
002_96_368,0
002_96_384,0
002_112_0,1
002_112_16,0
002_112_32,0
002_112_48,1
002_112_64,1
002_112_80,1
002_112_96,0
002_112_112,0
002_112_128,0
002_112_144,0
002_112_160,0
002_112_176,0
002_112_192,0
002_112_208,0
002_112_224,0
002_112_240,0
002_112_256,0
002_112_272,0
002_112_288,1
002_112_304,0
002_112_320,0
002_112_336,0
002_112_352,0
002_112_368,0
002_112_384,0
002_128_0,1
002_128_16,1
002_128_32,1
002_128_48,1
002_128_64,1
002_128_80,0
002_128_96,0
002_128_112,0
002_128_128,0
002_128_144,0
002_128_160,0
002_128_176,0
002_128_192,0
002_128_208,0
002_128_224,0
002_128_240,0
002_128_256,0
002_128_272,0
002_128_288,0
002_128_304,1
002_128_320,0
002_128_336,0
002_128_352,0
002_128_368,0
002_128_384,0
002_144_0,0
002_144_16,1
002_144_32,1
002_144_48,1
002_144_64,0
002_144_80,0
002_144_96,0
002_144_112,0
002_144_128,0
002_144_144,0
002_144_160,0
002_144_176,0
002_144_192,0
002_144_208,0
002_144_224,0
002_144_240,0
002_144_256,0
002_144_272,0
002_144_288,0
002_144_304,0
002_144_320,1
002_144_336,0
002_144_352,0
002_144_368,0
002_144_384,0
002_160_0,0
002_160_16,1
002_160_32,1
002_160_48,0
002_160_64,0
002_160_80,0
002_160_96,0
002_160_112,0
002_160_128,0
002_160_144,0
002_160_160,0
002_160_176,0
002_160_192,0
002_160_208,0
002_160_224,0
002_160_240,0
002_160_256,0
002_160_272,0
002_160_288,0
002_160_304,0
002_160_320,0
002_160_336,1
002_160_352,0
002_160_368,0
002_160_384,0
002_176_0,1
002_176_16,1
002_176_32,0
002_176_48,0
002_176_64,0
002_176_80,0
002_176_96,0
002_176_112,0
002_176_128,0
002_176_144,0
002_176_160,0
002_176_176,0
002_176_192,0
002_176_208,0
002_176_224,0
002_176_240,0
002_176_256,0
002_176_272,0
002_176_288,0
002_176_304,0
002_176_320,0
002_176_336,0
002_176_352,1
002_176_368,0
002_176_384,0
002_192_0,1
002_192_16,0
002_192_32,0
002_192_48,0
