2023-04-25 20:53:43,945 INFO    MainThread:57924 [wandb_setup.py:_flush():76] Configure stats pid to 57924
2023-04-25 20:53:43,946 INFO    MainThread:57924 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Timothe\.config\wandb\settings
2023-04-25 20:53:43,946 INFO    MainThread:57924 [wandb_setup.py:_flush():76] Loading settings from c:\Users\Timothe\Documents\eth4\cil\github\CIL\segformer\wandb\settings
2023-04-25 20:53:43,946 INFO    MainThread:57924 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-25 20:53:43,946 INFO    MainThread:57924 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-25 20:53:43,946 INFO    MainThread:57924 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-04-25 20:53:43,947 INFO    MainThread:57924 [wandb_init.py:_log_setup():507] Logging user logs to c:\Users\Timothe\Documents\eth4\cil\github\CIL\segformer\wandb\run-20230425_205343-naqcse2w\logs\debug.log
2023-04-25 20:53:43,947 INFO    MainThread:57924 [wandb_init.py:_log_setup():508] Logging internal logs to c:\Users\Timothe\Documents\eth4\cil\github\CIL\segformer\wandb\run-20230425_205343-naqcse2w\logs\debug-internal.log
2023-04-25 20:53:43,948 INFO    MainThread:57924 [wandb_init.py:init():547] calling init triggers
2023-04-25 20:53:43,948 INFO    MainThread:57924 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-04-25 20:53:43,948 INFO    MainThread:57924 [wandb_init.py:init():571] re-initializing run, found existing run on stack: 6y5q2irr
2023-04-25 20:53:43,949 INFO    MainThread:57924 [wandb_run.py:_finish():1892] finishing run tlaborie/CIL 2023/6y5q2irr
2023-04-25 20:53:43,949 INFO    MainThread:57924 [jupyter.py:save_history():445] not saving jupyter history
2023-04-25 20:53:43,950 INFO    MainThread:57924 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-25 20:53:43,950 INFO    MainThread:57924 [wandb_init.py:_jupyter_teardown():435] cleaning up jupyter logic
2023-04-25 20:53:43,950 INFO    MainThread:57924 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-04-25 20:53:43,950 INFO    MainThread:57924 [wandb_run.py:_restore():2109] restore
2023-04-25 20:53:43,950 INFO    MainThread:57924 [wandb_run.py:_restore():2115] restore done
2023-04-25 20:53:48,788 INFO    MainThread:57924 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-04-25 20:53:48,788 INFO    MainThread:57924 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-04-25 20:53:48,791 INFO    MainThread:57924 [wandb_run.py:_footer_sync_info():3434] logging synced files
2023-04-25 20:53:48,816 INFO    MainThread:57924 [wandb_init.py:init():595] starting backend
2023-04-25 20:53:48,816 INFO    MainThread:57924 [wandb_init.py:init():599] setting up manager
2023-04-25 20:53:48,821 INFO    MainThread:57924 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-25 20:53:48,825 INFO    MainThread:57924 [wandb_init.py:init():605] backend started and connected
2023-04-25 20:53:48,841 INFO    MainThread:57924 [wandb_run.py:_label_probe_notebook():1237] probe notebook
2023-04-25 20:53:48,841 INFO    MainThread:57924 [wandb_run.py:_label_probe_notebook():1247] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-04-25 20:53:48,841 INFO    MainThread:57924 [wandb_init.py:init():695] updated telemetry
2023-04-25 20:53:48,875 INFO    MainThread:57924 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-25 20:53:50,277 INFO    MainThread:57924 [wandb_run.py:_on_init():2176] communicating current version
2023-04-25 20:53:50,398 INFO    MainThread:57924 [wandb_run.py:_on_init():2185] got version response 
2023-04-25 20:53:50,398 INFO    MainThread:57924 [wandb_init.py:init():782] starting run threads in backend
2023-04-25 20:54:04,611 INFO    MainThread:57924 [wandb_run.py:_console_start():2157] atexit reg
2023-04-25 20:54:04,611 INFO    MainThread:57924 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-25 20:54:04,611 INFO    MainThread:57924 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-25 20:54:04,611 INFO    MainThread:57924 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-25 20:54:04,612 INFO    MainThread:57924 [wandb_init.py:init():824] run started, returning control to user process
2023-04-25 20:54:04,612 INFO    MainThread:57924 [wandb_watch.py:watch():51] Watching
